"Accepted Symbol","Synonym Symbol","Scientific Name","Duration","Active Growth Period","Foliage Color","pH (Minimum)","pH (Maximum)","Precipitation (Minimum)","Precipitation (Maximum)","Shade Tolerance","Temperature, Minimum (°F)"
"ABELI","","Abelia","","","","","","","","",""
"ABGR4","","Abelia ×grandiflora","Perennial","Spring, Summer, Fall","Dark Green","5.5","6.8","35","60","Tolerant","-8"
"ABELM","","Abelmoschus","","","","","","","","",""
"ABES","","Abelmoschus esculentus","Annual, Perennial","","","","","","","",""
"ABMA9","","Abelmoschus manihot","","","","","","","","",""
"ABMO","","Abelmoschus moschatus","Perennial","","","","","","","",""
"ABIES","","Abies","","","","","","","","",""
"ABAL3","","Abies alba","Perennial","","","","","","","",""
"ABAM","","Abies amabilis","Perennial","Spring and Summer","Gray-Green","3.3","6.0","38","260","Tolerant","-28"
"ABBA","","Abies balsamea","Perennial","Spring and Summer","Green","4.0","6.0","13","60","Tolerant","-43"
"ABBAB","","Abies balsamea var. balsamea","Perennial","","","","","","","",""
"ABBAP","","Abies balsamea var. phanerolepis","Perennial","","","","","","","",""
"ABBR","","Abies bracteata","Perennial","","","","","","","",""
"ABCO","","Abies concolor","Perennial","Spring and Summer","Green","5.5","7.8","18","80","Intermediate","-38"
"ABFI","","Abies firma","Perennial","","","","","","","",""
"ABFR","","Abies fraseri","Perennial","Spring and Summer","Dark Green","3.5","5.5","45","100","Tolerant","-23"
"ABGR","","Abies grandis","Perennial","Spring and Summer","Green","4.5","7.5","11","100","Tolerant","-33"
"ABGU","","Abies guatemalensis","Perennial","","","","","","","",""
"ABHO","","Abies homolepis","Perennial","","","","","","","",""
"ABLA","","Abies lasiocarpa","Perennial","Spring and Summer","Green","4.0","6.5","20","150","Tolerant","-51"
"ABLAA","","Abies lasiocarpa var. arizonica","Perennial","","","","","","","",""
"ABLAL","","Abies lasiocarpa var. lasiocarpa","Perennial","","","","","","","",""
"ABLO","","Abies lowiana","Perennial","","","","","","","",""
"ABMA","","Abies magnifica","Perennial","Spring and Summer","Dark Green","5.0","6.1","33","64","Tolerant","-23"
"ABMAM","","Abies magnifica var. magnifica","Perennial","","","","","","","",""
"ABMAS","","Abies magnifica var. shastensis","Perennial","","","","","","","",""
"ABPR","","Abies procera","Perennial","Spring and Summer","Dark Green","6.0","7.5","64","120","Intermediate","-23"
"ABVE2","","Abies veitchii","","","","","","","","",""
"ABIET","","Abietinella","","","","","","","","",""
"ABAB70","","Abietinella abietina","","","","","","","","",""
